boundary,change_ci_hi_pct,change_ci_lo_pct,circuit,distance_to_cut_pp,error_ci_hi,error_ci_lo,error_excludes_zero,error_kind,error_rate,est_long_run_change_pct,k,n_seeds,p_call,qiskit_baseline,qiskit_candidate,status,threshold,verdict
True,9.7681,6.8274,bv_n30,1.684,0.476949,0.310522,True,FALSE_POSITIVE,0.397783,8.316,3,200,0.397783,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,cat_n35,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,9.0176,6.9346,knn_n31,2.009,0.424481,0.241641,True,FALSE_POSITIVE,0.331292,7.9912,3,200,0.331292,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ising_n34,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,wstate_n36,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,8.9227,6.9302,swap_test_n41,2.076,0.386494,0.210842,True,FALSE_POSITIVE,0.302678,7.9236,3,200,0.302678,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,8.9227,6.9302,knn_n41,2.076,0.386494,0.210842,True,FALSE_POSITIVE,0.302678,7.9236,3,200,0.302678,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,cat_n65,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ghz_n40,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,5.394,4.003,adder_n28,5.311,0.07361,0.024639,True,FALSE_POSITIVE,0.044103,4.689,3,200,0.044103,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,9.2414,6.1709,bv_n70,2.3,0.460808,0.28592,True,FALSE_POSITIVE,0.374036,7.6998,3,200,0.374036,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ising_n66,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ising_n42,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,10.9647,8.8934,dnn_n33,0.072,,,False,N/A,,9.9278,3,200,,1.4.3,2.0.0,OK,0.1,UNRESOLVED
False,0.0,0.0,ghz_n127,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,wstate_n76,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ghz_n78,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,7.511,5.8335,knn_n67,3.331,0.238141,0.108254,True,FALSE_POSITIVE,0.167004,6.6687,3,200,0.167004,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,wstate_n118,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,13.0009,11.0881,qugan_n39,2.033,0.40419,0.221544,True,FALSE_NEGATIVE,0.305268,12.0327,3,200,0.694732,1.4.3,2.0.0,OK,0.1,REGRESSION
False,0.0,0.0,cat_n130,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,10.8366,8.6709,dnn_n51,0.265,,,False,N/A,,9.7347,3,200,,1.4.3,2.0.0,OK,0.1,UNRESOLVED
False,7.5034,6.0233,swap_test_n83,3.237,0.227535,0.101924,True,FALSE_POSITIVE,0.156658,6.7625,3,200,0.156658,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,6.8505,5.3997,adder_n64,3.885,0.159362,0.059513,True,FALSE_POSITIVE,0.097143,6.1154,3,200,0.097143,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,4.821,3.3594,qft_n29,5.927,0.050058,0.017449,True,FALSE_POSITIVE,0.030424,4.0732,3,200,0.030424,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,8.0918,6.7036,swap_test_n115,2.606,0.253201,0.11772,True,FALSE_POSITIVE,0.182736,7.3939,3,200,0.182736,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,6.1146,3.6745,bv_n280,5.11,0.236869,0.11599,True,FALSE_POSITIVE,0.173147,4.8898,3,200,0.173147,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,11.4562,9.4927,qugan_n71,0.473,,,False,N/A,,10.473,3,200,,1.4.3,2.0.0,OK,0.1,UNRESOLVED
False,-6.7707,-9.7874,cc_n32,18.284,0.008273,0.001087,True,FALSE_POSITIVE,0.003741,-8.2839,3,200,0.003741,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,7.0343,5.8597,knn_129,3.543,0.14141,0.060018,True,FALSE_POSITIVE,0.093448,6.4566,3,200,0.093448,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,7.2104,5.7001,adder_n118,3.53,0.192534,0.081596,True,FALSE_POSITIVE,0.126743,6.4699,3,200,0.126743,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,9.1713,7.0851,qugan_n111,1.881,0.427425,0.251576,True,FALSE_POSITIVE,0.330711,8.1193,3,200,0.330711,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,8.3659,7.4035,qft_n63,2.104,0.225908,0.107759,True,FALSE_POSITIVE,0.164442,7.8956,3,200,0.164442,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.1629,-0.2645,32,10.049,0.0,0.0,False,FALSE_POSITIVE,0.0,-0.0492,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,6.712,5.691,knn_341,3.798,0.076841,0.027004,True,FALSE_POSITIVE,0.046756,6.2018,3,200,0.046756,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,1.247,-2.0604,cc_n64,10.397,0.124811,0.04311,True,FALSE_POSITIVE,0.076485,-0.397,3,200,0.076485,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,6.2647,5.2022,swap_test_n361,4.261,0.043953,0.013209,True,FALSE_POSITIVE,0.025908,5.7388,3,200,0.025908,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
True,7.7916,7.1409,multiplier_n45,2.527,0.049816,0.012366,True,FALSE_POSITIVE,0.028724,7.4733,3,200,0.028724,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
False,0.0,0.0,ising_n420,10.0,0.0,0.0,False,FALSE_POSITIVE,0.0,0.0,3,200,0.0,1.4.3,2.0.0,OK,0.1,NO_REGRESSION
