topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,measured_change_pct,rho_spread_pct,unpaired_r05_pct,unpaired_r95_pct,unpaired_band_pp,paired_r05_pct,paired_r95_pct,paired_band_pp
heavy-hex,100,2.0.0,2.0.2,12,3,0.1,0.0,0.0,9.437,10.566,1.129,10.0,10.0,0.0
heavy-hex,32,2.0.0,2.0.2,12,3,0.1,0.0,0.0,7.885,12.156,4.271,10.0,10.0,0.0
heavy-hex,adder_n118,2.0.0,2.0.2,12,3,0.1,-5.876,2.722,6.353,13.774,7.42,9.05,10.747,1.697
heavy-hex,adder_n28,2.0.0,2.0.2,12,3,0.1,-4.857,2.485,4.743,15.432,10.689,9.323,10.736,1.414
heavy-hex,adder_n433,2.0.0,2.0.2,12,3,0.1,-4.535,1.658,7.319,12.814,5.495,9.542,10.492,0.949
heavy-hex,adder_n64,2.0.0,2.0.2,12,3,0.1,-5.934,3.342,6.275,13.658,7.383,8.942,11.037,2.095
heavy-hex,bv_n140,2.0.0,2.0.2,12,3,0.1,-4.704,2.953,-0.375,21.365,21.74,9.03,11.055,2.026
heavy-hex,bv_n280,2.0.0,2.0.2,12,3,0.1,-3.576,3.09,1.699,19.045,17.346,9.046,10.972,1.926
heavy-hex,bv_n30,2.0.0,2.0.2,12,3,0.1,-7.956,18.14,-3.233,23.598,26.832,5.192,15.412,10.22
heavy-hex,bv_n70,2.0.0,2.0.2,12,3,0.1,-7.278,7.034,-2.564,24.147,26.712,7.27,13.154,5.885
heavy-hex,cat_n130,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,cat_n260,2.0.0,2.0.2,12,3,0.1,-3.114,1.2,2.058,18.483,16.425,9.651,10.354,0.703
heavy-hex,cat_n35,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,cat_n65,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,cc_n151,2.0.0,2.0.2,12,3,0.1,-3.829,3.843,0.732,20.257,19.525,8.81,11.206,2.397
heavy-hex,cc_n301,2.0.0,2.0.2,12,3,0.1,-2.947,2.143,5.977,14.197,8.22,9.329,10.655,1.325
heavy-hex,cc_n32,2.0.0,2.0.2,12,3,0.1,-5.92,10.298,-4.16,25.881,30.041,6.901,13.179,6.278
heavy-hex,cc_n64,2.0.0,2.0.2,12,3,0.1,-5.396,6.279,0.733,19.98,19.247,8.246,11.879,3.633
heavy-hex,dnn_n33,2.0.0,2.0.2,12,3,0.1,-9.643,4.091,3.446,16.95,13.504,8.701,11.403,2.702
heavy-hex,dnn_n51,2.0.0,2.0.2,12,3,0.1,-8.439,3.562,2.914,17.497,14.583,8.939,11.038,2.099
heavy-hex,ghz_n127,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ghz_n40,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ghz_n78,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ghz_state_n255,2.0.0,2.0.2,12,3,0.1,-3.112,1.321,2.435,18.196,15.761,9.662,10.436,0.774
heavy-hex,ising_n34,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ising_n42,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ising_n420,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ising_n66,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,ising_n98,2.0.0,2.0.2,12,3,0.1,0.0,0.0,3.721,16.659,12.937,10.0,10.0,0.0
heavy-hex,knn_129,2.0.0,2.0.2,12,3,0.1,-5.906,2.928,5.22,14.953,9.733,8.906,11.108,2.201
heavy-hex,knn_341,2.0.0,2.0.2,12,3,0.1,-5.83,1.428,7.302,12.743,5.441,9.535,10.514,0.979
heavy-hex,knn_n31,2.0.0,2.0.2,12,3,0.1,-7.179,6.494,4.486,15.916,11.431,7.971,12.105,4.134
heavy-hex,knn_n41,2.0.0,2.0.2,12,3,0.1,-7.698,8.062,1.914,18.658,16.744,7.984,12.561,4.577
heavy-hex,knn_n67,2.0.0,2.0.2,12,3,0.1,-6.001,5.051,2.164,18.252,16.088,8.283,11.584,3.3
heavy-hex,multiplier_n45,2.0.0,2.0.2,12,3,0.1,-6.715,1.693,7.794,12.274,4.481,9.547,10.474,0.927
heavy-hex,multiplier_n75,2.0.0,2.0.2,12,3,0.1,-6.236,0.91,8.891,11.152,2.262,9.711,10.303,0.591
heavy-hex,qft_n160,2.0.0,2.0.2,12,3,0.1,0.0,0.0,7.1,12.978,5.878,10.0,10.0,0.0
heavy-hex,qft_n29,2.0.0,2.0.2,12,3,0.1,0.0,0.0,5.449,14.747,9.298,10.0,10.0,0.0
heavy-hex,qft_n320,2.0.0,2.0.2,12,3,0.1,0.0,0.0,8.885,11.127,2.242,10.0,10.0,0.0
heavy-hex,qft_n63,2.0.0,2.0.2,12,3,0.1,0.0,0.0,5.952,14.203,8.251,10.0,10.0,0.0
heavy-hex,qugan_n111,2.0.0,2.0.2,12,3,0.1,-8.116,3.659,2.12,18.892,16.772,9.219,10.985,1.766
heavy-hex,qugan_n39,2.0.0,2.0.2,12,3,0.1,-10.914,6.223,2.808,17.537,14.729,8.034,11.816,3.782
heavy-hex,qugan_n395,2.0.0,2.0.2,12,3,0.1,-5.336,0.715,5.326,14.871,9.545,9.767,10.198,0.431
heavy-hex,qugan_n71,2.0.0,2.0.2,12,3,0.1,-8.819,3.071,4.612,15.66,11.048,9.122,10.998,1.876
heavy-hex,swap_test_n115,2.0.0,2.0.2,12,3,0.1,-6.431,2.777,5.905,14.253,8.348,8.952,11.082,2.13
heavy-hex,swap_test_n361,2.0.0,2.0.2,12,3,0.1,-5.414,1.862,4.771,15.577,10.806,9.412,10.647,1.235
heavy-hex,swap_test_n41,2.0.0,2.0.2,12,3,0.1,-7.698,8.062,1.914,18.658,16.744,7.984,12.561,4.577
heavy-hex,swap_test_n83,2.0.0,2.0.2,12,3,0.1,-6.227,3.655,2.445,18.478,16.033,8.772,11.257,2.485
heavy-hex,wstate_n118,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,wstate_n36,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
heavy-hex,wstate_n380,2.0.0,2.0.2,12,3,0.1,-2.108,0.717,4.954,15.27,10.316,9.805,10.209,0.404
