topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,measured_change_pct,rho_spread_pct,unpaired_r05_pct,unpaired_r95_pct,unpaired_band_pp,paired_r05_pct,paired_r95_pct,paired_band_pp
linear,32,2.0.0,2.0.2,12,3,0.1,0.0,0.0,8.618,11.399,2.781,10.0,10.0,0.0
linear,adder_n118,2.0.0,2.0.2,12,3,0.1,-12.178,1.106,8.907,11.033,2.126,9.61,10.319,0.708
linear,adder_n28,2.0.0,2.0.2,12,3,0.1,-4.794,0.081,8.799,11.199,2.399,9.963,10.052,0.089
linear,adder_n433,2.0.0,2.0.2,12,3,0.1,-12.68,0.569,9.25,10.794,1.543,9.825,10.178,0.353
linear,adder_n64,2.0.0,2.0.2,12,3,0.1,-9.651,3.58,8.685,11.385,2.7,9.043,11.467,2.423
linear,bv_n140,2.0.0,2.0.2,12,3,0.1,-24.148,18.289,-6.982,30.036,37.018,3.242,16.715,13.473
linear,bv_n280,2.0.0,2.0.2,12,3,0.1,-30.846,0.599,9.726,10.386,0.66,9.726,10.386,0.66
linear,bv_n30,2.0.0,2.0.2,12,3,0.1,-18.272,24.007,-2.929,21.846,24.775,2.395,16.869,14.474
linear,bv_n70,2.0.0,2.0.2,12,3,0.1,-22.331,18.318,-3.575,25.317,28.891,4.779,15.344,10.566
linear,cat_n130,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,cat_n260,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,cat_n35,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,cat_n65,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,cc_n151,2.0.0,2.0.2,12,3,0.1,-49.27,0.664,9.757,10.244,0.487,9.757,10.244,0.487
linear,cc_n301,2.0.0,2.0.2,12,3,0.1,-49.665,0.333,9.817,10.183,0.366,9.817,10.183,0.366
linear,cc_n32,2.0.0,2.0.2,12,3,0.1,-24.435,35.888,4.344,21.591,17.247,4.344,21.591,17.247
linear,cc_n64,2.0.0,2.0.2,12,3,0.1,-46.748,39.695,0.069,14.365,14.296,0.069,14.365,14.296
linear,dnn_n33,2.0.0,2.0.2,12,3,0.1,-17.281,4.202,8.197,11.995,3.799,8.954,11.265,2.311
linear,dnn_n51,2.0.0,2.0.2,12,3,0.1,-17.202,2.151,8.188,11.894,3.706,9.252,10.79,1.539
linear,ghz_n127,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,ghz_n40,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,ghz_n78,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,ghz_state_n255,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,ising_n34,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
linear,ising_n42,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
