topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,measured_change_pct,rho_spread_pct,unpaired_r05_pct,unpaired_r95_pct,unpaired_band_pp,paired_r05_pct,paired_r95_pct,paired_band_pp
square,100,2.0.0,2.0.2,12,3,0.1,-0.009,0.024,9.408,10.596,1.188,9.993,10.011,0.017
square,32,2.0.0,2.0.2,12,3,0.1,0.0,0.0,8.888,11.124,2.236,10.0,10.0,0.0
square,adder_n118,2.0.0,2.0.2,12,3,0.1,-5.55,2.287,5.749,14.621,8.871,9.141,10.825,1.684
square,adder_n28,2.0.0,2.0.2,12,3,0.1,-3.706,4.647,6.568,13.518,6.95,8.695,11.585,2.89
square,adder_n433,2.0.0,2.0.2,12,3,0.1,-4.939,2.42,7.599,12.638,5.039,9.551,10.67,1.119
square,adder_n64,2.0.0,2.0.2,12,3,0.1,-5.082,4.249,5.599,14.531,8.933,8.855,11.122,2.266
square,bv_n140,2.0.0,2.0.2,12,3,0.1,-2.931,3.675,0.513,20.198,19.685,8.675,11.36,2.685
square,bv_n280,2.0.0,2.0.2,12,3,0.1,-2.183,2.331,1.91,18.917,17.007,9.237,10.747,1.509
square,bv_n30,2.0.0,2.0.2,12,3,0.1,-5.926,10.116,-0.85,21.679,22.529,6.648,13.419,6.771
square,bv_n70,2.0.0,2.0.2,12,3,0.1,-3.824,4.687,-2.529,24.149,26.678,8.551,11.406,2.855
square,cat_n130,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,cat_n260,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,cat_n35,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,cat_n65,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,cc_n151,2.0.0,2.0.2,12,3,0.1,-1.681,1.71,3.426,16.949,13.523,9.429,10.471,1.042
square,cc_n301,2.0.0,2.0.2,12,3,0.1,-1.65,1.721,5.271,14.972,9.701,9.547,10.486,0.939
square,cc_n32,2.0.0,2.0.2,12,3,0.1,-3.737,5.468,1.225,19.618,18.393,8.325,11.905,3.58
square,cc_n64,2.0.0,2.0.2,12,3,0.1,-4.795,6.752,3.602,16.511,12.909,7.842,11.834,3.992
square,dnn_n33,2.0.0,2.0.2,12,3,0.1,-8.36,5.084,6.386,13.586,7.2,8.578,11.374,2.796
square,dnn_n51,2.0.0,2.0.2,12,3,0.1,-7.082,6.481,4.692,15.638,10.945,8.348,12.055,3.706
square,ghz_n127,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ghz_n40,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ghz_n78,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ghz_state_n255,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ising_n34,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ising_n42,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ising_n420,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ising_n66,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,ising_n98,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,knn_129,2.0.0,2.0.2,12,3,0.1,-5.047,3.175,5.192,15.126,9.934,8.899,10.892,1.994
square,knn_341,2.0.0,2.0.2,12,3,0.1,-5.789,1.979,7.592,12.397,4.805,9.466,10.626,1.16
square,knn_n31,2.0.0,2.0.2,12,3,0.1,-3.62,6.57,4.901,15.371,10.47,8.277,12.069,3.793
square,knn_n41,2.0.0,2.0.2,12,3,0.1,-4.558,7.703,6.889,13.256,6.367,7.984,12.49,4.506
square,knn_n67,2.0.0,2.0.2,12,3,0.1,-4.594,5.242,5.149,14.999,9.849,8.487,11.575,3.088
square,multiplier_n45,2.0.0,2.0.2,12,3,0.1,-5.289,0.837,8.782,11.265,2.483,9.75,10.229,0.479
square,multiplier_n75,2.0.0,2.0.2,12,3,0.1,-4.825,0.805,9.114,10.905,1.791,9.754,10.236,0.482
square,qft_n160,2.0.0,2.0.2,12,3,0.1,0.0,0.0,8.579,11.44,2.861,10.0,10.0,0.0
square,qft_n29,2.0.0,2.0.2,12,3,0.1,0.0,0.0,6.0,14.151,8.151,10.0,10.0,0.0
square,qft_n320,2.0.0,2.0.2,12,3,0.1,0.0,0.0,8.455,11.567,3.111,10.0,10.0,0.0
square,qft_n63,2.0.0,2.0.2,12,3,0.1,0.0,0.0,7.659,12.392,4.733,10.0,10.0,0.0
square,qugan_n111,2.0.0,2.0.2,12,3,0.1,-7.4,1.907,4.529,15.813,11.284,9.397,10.471,1.074
square,qugan_n39,2.0.0,2.0.2,12,3,0.1,-8.715,6.422,3.387,16.876,13.489,8.631,11.9,3.269
square,qugan_n395,2.0.0,2.0.2,12,3,0.1,-5.833,1.229,6.58,13.51,6.93,9.561,10.459,0.897
square,qugan_n71,2.0.0,2.0.2,12,3,0.1,-8.328,2.905,5.102,15.063,9.961,9.278,10.895,1.616
square,swap_test_n115,2.0.0,2.0.2,12,3,0.1,-5.956,3.973,5.423,14.877,9.454,8.824,11.372,2.548
square,swap_test_n361,2.0.0,2.0.2,12,3,0.1,-4.898,1.605,7.51,12.61,5.1,9.521,10.507,0.987
square,swap_test_n41,2.0.0,2.0.2,12,3,0.1,-4.558,7.703,6.889,13.256,6.367,7.984,12.49,4.506
square,swap_test_n83,2.0.0,2.0.2,12,3,0.1,-5.88,5.832,4.897,15.264,10.366,8.369,11.938,3.569
square,wstate_n118,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,wstate_n36,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,wstate_n380,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
square,wstate_n76,2.0.0,2.0.2,12,3,0.1,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0
