topology,circuit,qiskit_old,qiskit_new,heterogeneous,mean_change_pct,band_mult_pp,band_add_pp
heavy-hex,100,2.0.0,2.0.2,False,0.0,1.129,1.078
heavy-hex,32,2.0.0,2.0.2,False,0.0,4.271,4.075
heavy-hex,adder_n118,2.0.0,2.0.2,True,-5.876,7.42,6.789
heavy-hex,adder_n28,2.0.0,2.0.2,True,-4.857,10.689,10.033
heavy-hex,adder_n433,2.0.0,2.0.2,True,-4.535,5.495,5.073
heavy-hex,adder_n64,2.0.0,2.0.2,True,-5.934,7.383,6.76
heavy-hex,bv_n140,2.0.0,2.0.2,True,-4.704,21.74,20.15
heavy-hex,bv_n280,2.0.0,2.0.2,True,-3.576,17.346,16.139
heavy-hex,bv_n30,2.0.0,2.0.2,True,-7.956,26.832,24.362
heavy-hex,bv_n70,2.0.0,2.0.2,True,-7.278,26.712,24.114
heavy-hex,cat_n130,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,cat_n260,2.0.0,2.0.2,True,-3.114,16.425,15.452
heavy-hex,cat_n35,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,cat_n65,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,cc_n151,2.0.0,2.0.2,True,-3.829,19.525,18.092
heavy-hex,cc_n301,2.0.0,2.0.2,True,-2.947,8.22,7.715
heavy-hex,cc_n32,2.0.0,2.0.2,True,-5.92,30.041,27.259
heavy-hex,cc_n64,2.0.0,2.0.2,True,-5.396,19.247,17.764
heavy-hex,dnn_n33,2.0.0,2.0.2,True,-9.643,13.504,12.375
heavy-hex,dnn_n51,2.0.0,2.0.2,True,-8.439,14.583,13.285
heavy-hex,ghz_n127,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ghz_n40,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ghz_n78,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ghz_state_n255,2.0.0,2.0.2,True,-3.112,15.761,14.687
heavy-hex,ising_n34,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ising_n42,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ising_n420,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ising_n66,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,ising_n98,2.0.0,2.0.2,False,0.0,12.937,12.423
heavy-hex,knn_129,2.0.0,2.0.2,True,-5.906,9.733,8.975
heavy-hex,knn_341,2.0.0,2.0.2,True,-5.83,5.441,5.031
heavy-hex,knn_n31,2.0.0,2.0.2,True,-7.179,11.431,10.364
heavy-hex,knn_n41,2.0.0,2.0.2,True,-7.698,16.744,15.129
heavy-hex,knn_n67,2.0.0,2.0.2,True,-6.001,16.088,14.735
heavy-hex,multiplier_n45,2.0.0,2.0.2,True,-6.715,4.481,4.109
heavy-hex,multiplier_n75,2.0.0,2.0.2,True,-6.236,2.262,2.059
heavy-hex,qft_n160,2.0.0,2.0.2,False,0.0,5.878,5.599
heavy-hex,qft_n29,2.0.0,2.0.2,False,0.0,9.298,8.883
heavy-hex,qft_n320,2.0.0,2.0.2,False,0.0,2.242,2.14
heavy-hex,qft_n63,2.0.0,2.0.2,False,0.0,8.251,7.856
heavy-hex,qugan_n111,2.0.0,2.0.2,True,-8.116,16.772,15.064
heavy-hex,qugan_n39,2.0.0,2.0.2,True,-10.914,14.729,13.032
heavy-hex,qugan_n395,2.0.0,2.0.2,True,-5.336,9.545,8.888
heavy-hex,qugan_n71,2.0.0,2.0.2,True,-8.819,11.048,9.989
heavy-hex,swap_test_n115,2.0.0,2.0.2,True,-6.431,8.348,7.703
heavy-hex,swap_test_n361,2.0.0,2.0.2,True,-5.414,10.806,9.986
heavy-hex,swap_test_n41,2.0.0,2.0.2,True,-7.698,16.744,15.129
heavy-hex,swap_test_n83,2.0.0,2.0.2,True,-6.227,16.033,14.446
heavy-hex,wstate_n118,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,wstate_n36,2.0.0,2.0.2,False,0.0,0.0,0.0
heavy-hex,wstate_n380,2.0.0,2.0.2,True,-2.108,10.316,9.78
heavy-hex,wstate_n76,2.0.0,2.0.2,False,0.0,0.0,0.0
