topology,circuit,qiskit_old,qiskit_new,heterogeneous,mean_change_pct,band_mult_pp,band_add_pp
linear,32,2.0.0,2.0.2,False,0.0,2.781,2.658
linear,adder_n118,2.0.0,2.0.2,True,-12.178,2.126,1.85
linear,adder_n28,2.0.0,2.0.2,True,-4.794,2.399,2.237
linear,adder_n433,2.0.0,2.0.2,True,-12.68,1.543,1.372
linear,adder_n64,2.0.0,2.0.2,True,-9.651,2.7,2.385
linear,bv_n140,2.0.0,2.0.2,True,-24.148,37.018,31.072
linear,bv_n280,2.0.0,2.0.2,True,-30.846,0.66,0.415
linear,bv_n30,2.0.0,2.0.2,True,-18.272,24.775,20.494
linear,bv_n70,2.0.0,2.0.2,True,-22.331,28.891,24.238
linear,cat_n130,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,cat_n260,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,cat_n35,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,cat_n65,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,cc_n151,2.0.0,2.0.2,True,-49.27,0.487,0.224
linear,cc_n301,2.0.0,2.0.2,True,-49.665,0.366,0.168
linear,cc_n32,2.0.0,2.0.2,True,-24.435,17.247,11.299
linear,cc_n64,2.0.0,2.0.2,True,-46.748,14.296,7.317
linear,dnn_n33,2.0.0,2.0.2,True,-17.281,3.799,3.224
linear,dnn_n51,2.0.0,2.0.2,True,-17.202,3.706,3.038
linear,ghz_n127,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ghz_n40,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ghz_n78,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ghz_state_n255,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ising_n34,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ising_n42,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ising_n420,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ising_n66,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,ising_n98,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,knn_129,2.0.0,2.0.2,True,-29.936,1.345,1.004
linear,knn_341,2.0.0,2.0.2,True,-30.391,1.014,0.752
linear,knn_n31,2.0.0,2.0.2,False,-27.513,0.0,0.0
linear,knn_n41,2.0.0,2.0.2,False,-28.346,0.0,0.0
linear,knn_n67,2.0.0,2.0.2,False,-29.314,0.0,0.0
linear,multiplier_n45,2.0.0,2.0.2,True,-7.298,6.678,6.11
linear,multiplier_n75,2.0.0,2.0.2,True,-6.965,13.792,12.754
linear,qft_n160,2.0.0,2.0.2,False,0.0,18.264,17.089
linear,qft_n29,2.0.0,2.0.2,False,0.0,10.03,9.583
linear,qft_n320,2.0.0,2.0.2,False,0.0,59.8,53.463
linear,qft_n63,2.0.0,2.0.2,False,0.0,5.132,4.906
linear,qugan_n111,2.0.0,2.0.2,True,-16.098,2.001,1.631
linear,qugan_n39,2.0.0,2.0.2,True,-16.342,4.29,3.503
linear,qugan_n395,2.0.0,2.0.2,True,-15.923,1.566,1.28
linear,qugan_n71,2.0.0,2.0.2,True,-16.045,2.308,1.957
linear,swap_test_n115,2.0.0,2.0.2,True,-29.247,3.156,2.242
linear,swap_test_n361,2.0.0,2.0.2,True,-30.412,0.958,0.711
linear,swap_test_n41,2.0.0,2.0.2,False,-28.346,0.0,0.0
linear,swap_test_n83,2.0.0,2.0.2,False,-29.602,0.0,0.0
linear,wstate_n118,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,wstate_n36,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,wstate_n380,2.0.0,2.0.2,False,0.0,0.0,0.0
linear,wstate_n76,2.0.0,2.0.2,False,0.0,0.0,0.0
