topology,circuit,qiskit_old,qiskit_new,heterogeneous,mean_change_pct,band_mult_pp,band_add_pp
square,100,2.0.0,2.0.2,True,-0.009,1.188,1.135
square,32,2.0.0,2.0.2,False,0.0,2.236,2.135
square,adder_n118,2.0.0,2.0.2,True,-5.55,8.871,8.245
square,adder_n28,2.0.0,2.0.2,True,-3.706,6.95,6.553
square,adder_n433,2.0.0,2.0.2,True,-4.939,5.039,4.613
square,adder_n64,2.0.0,2.0.2,True,-5.082,8.933,8.248
square,bv_n140,2.0.0,2.0.2,True,-2.931,19.685,18.559
square,bv_n280,2.0.0,2.0.2,True,-2.183,17.007,15.771
square,bv_n30,2.0.0,2.0.2,True,-5.926,22.529,21.111
square,bv_n70,2.0.0,2.0.2,True,-3.824,26.678,24.857
square,cat_n130,2.0.0,2.0.2,False,0.0,0.0,0.0
square,cat_n260,2.0.0,2.0.2,False,0.0,0.0,0.0
square,cat_n35,2.0.0,2.0.2,False,0.0,0.0,0.0
square,cat_n65,2.0.0,2.0.2,False,0.0,0.0,0.0
square,cc_n151,2.0.0,2.0.2,True,-1.681,13.523,12.734
square,cc_n301,2.0.0,2.0.2,True,-1.65,9.701,9.123
square,cc_n32,2.0.0,2.0.2,True,-3.737,18.393,17.01
square,cc_n64,2.0.0,2.0.2,True,-4.795,12.909,11.774
square,dnn_n33,2.0.0,2.0.2,True,-8.36,7.2,6.658
square,dnn_n51,2.0.0,2.0.2,True,-7.082,10.945,9.825
square,ghz_n127,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ghz_n40,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ghz_n78,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ghz_state_n255,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ising_n34,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ising_n42,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ising_n420,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ising_n66,2.0.0,2.0.2,False,0.0,0.0,0.0
square,ising_n98,2.0.0,2.0.2,False,0.0,0.0,0.0
square,knn_129,2.0.0,2.0.2,True,-5.047,9.934,9.264
square,knn_341,2.0.0,2.0.2,True,-5.789,4.805,4.423
square,knn_n31,2.0.0,2.0.2,True,-3.62,10.47,9.682
square,knn_n41,2.0.0,2.0.2,True,-4.558,6.367,5.842
square,knn_n67,2.0.0,2.0.2,True,-4.594,9.849,9.036
square,multiplier_n45,2.0.0,2.0.2,True,-5.289,2.483,2.309
square,multiplier_n75,2.0.0,2.0.2,True,-4.825,1.791,1.66
square,qft_n160,2.0.0,2.0.2,False,0.0,2.861,2.733
square,qft_n29,2.0.0,2.0.2,False,0.0,8.151,7.786
square,qft_n320,2.0.0,2.0.2,False,0.0,3.111,2.963
square,qft_n63,2.0.0,2.0.2,False,0.0,4.733,4.521
square,qugan_n111,2.0.0,2.0.2,True,-7.4,11.284,10.353
square,qugan_n39,2.0.0,2.0.2,True,-8.715,13.489,12.4
square,qugan_n395,2.0.0,2.0.2,True,-5.833,6.93,6.434
square,qugan_n71,2.0.0,2.0.2,True,-8.328,9.961,9.151
square,swap_test_n115,2.0.0,2.0.2,True,-5.956,9.454,8.776
square,swap_test_n361,2.0.0,2.0.2,True,-4.898,5.1,4.737
square,swap_test_n41,2.0.0,2.0.2,True,-4.558,6.367,5.842
square,swap_test_n83,2.0.0,2.0.2,True,-5.88,10.366,9.573
square,wstate_n118,2.0.0,2.0.2,False,0.0,0.0,0.0
square,wstate_n36,2.0.0,2.0.2,False,0.0,0.0,0.0
square,wstate_n380,2.0.0,2.0.2,False,0.0,0.0,0.0
square,wstate_n76,2.0.0,2.0.2,False,0.0,0.0,0.0
