circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
cc_n32,32,two_q,1,0.137,12,8,103.0,148.0,129.5,128.5,12.057,12.75,9.31,43.69,-0.496,0.214,0.6289
bv_n30,30,two_q,12,0.016,12,6,54.0,72.0,60.75,60.0,4.634,1.5,7.629,33.33,1.111,1.144,0.0489
bv_n70,70,two_q,12,0.045,12,8,135.0,174.0,158.0,162.0,13.129,22.5,8.309,28.89,-0.316,-1.19,0.3096
bv_n140,140,two_q,12,0.077,12,10,381.0,480.0,432.25,433.5,32.323,45.75,7.478,25.98,-0.256,-1.157,0.5026
cc_n151,151,two_q,1,1.835,12,11,921.0,1143.0,1040.25,1024.5,67.181,87.75,6.458,24.1,-0.171,-0.933,0.6608
bv_n280,280,two_q,12,0.108,12,12,962.0,1178.0,1090.5,1080.5,63.74,90.0,5.845,22.45,-0.297,-0.503,0.6252
qugan_n111,111,two_q,12,0.224,12,12,1708.0,2082.0,1977.5,2003.0,107.407,84.0,5.431,21.9,-1.432,1.342,0.0263
cc_n64,64,two_q,1,0.44,12,10,306.0,369.0,342.83,348.0,22.332,40.5,6.514,20.59,-0.348,-1.37,0.1779
swap_test_n83,83,two_q,12,0.088,12,12,704.0,842.0,803.0,819.5,40.685,47.0,5.067,19.6,-1.278,0.825,0.0315
knn_n41,41,two_q,12,0.038,12,11,299.0,353.0,323.67,322.5,16.773,22.25,5.182,18.06,0.045,-0.89,0.8807
swap_test_n41,41,two_q,12,0.042,12,11,299.0,353.0,323.67,322.5,16.773,22.25,5.182,18.06,0.045,-0.89,0.8807
ghz_state_n255,255,two_q,12,4.402,12,12,2063.0,2429.0,2297.75,2349.5,123.74,199.5,5.385,17.74,-0.679,-0.991,0.0749
knn_n67,67,two_q,12,0.068,12,12,567.0,667.0,611.0,604.0,30.683,34.0,5.022,17.64,0.347,-0.786,0.788
dnn_n51,51,two_q,12,0.081,12,12,669.0,786.0,732.67,735.5,36.177,47.5,4.938,17.49,-0.261,-0.942,0.9538
dnn_n33,33,two_q,12,0.059,12,12,381.0,447.0,410.5,408.5,19.663,17.25,4.79,17.32,0.419,-0.478,0.6272
cat_n260,260,two_q,12,4.367,12,10,2248.0,2617.0,2408.5,2374.0,136.225,218.25,5.656,16.41,0.576,-1.147,0.0423
swap_test_n361,361,two_q,12,0.489,12,12,4448.0,5133.0,4812.75,4797.5,173.09,134.5,3.596,15.4,-0.133,0.437,0.5695
adder_n28,28,two_q,12,0.048,12,9,403.0,462.0,428.92,423.0,16.195,15.75,3.776,14.64,0.665,-0.16,0.2369
ising_n98,98,two_q,12,1.809,12,10,546.0,623.0,573.92,571.0,26.214,44.0,4.568,14.1,0.397,-1.189,0.0472
qugan_n39,39,two_q,12,0.071,12,12,491.0,559.0,520.75,516.5,23.199,41.5,4.455,13.85,0.283,-1.354,0.3083
wstate_n380,380,two_q,12,5.832,12,12,7176.0,8081.0,7503.25,7442.5,270.378,239.25,3.603,12.61,0.857,-0.084,0.292
qft_n63,63,two_q,12,0.314,12,12,4923.0,5502.0,5272.25,5290.0,152.896,108.5,2.9,11.76,-0.801,0.511,0.5092
qugan_n395,395,two_q,12,0.987,12,12,10021.0,11152.0,10539.42,10564.0,346.95,360.0,3.292,11.29,0.393,-0.622,0.5817
qft_n29,29,two_q,12,0.108,12,12,1561.0,1735.0,1652.17,1644.5,54.139,64.75,3.277,11.15,-0.006,-0.863,0.7338
knn_n31,31,two_q,12,0.031,12,11,216.0,240.0,228.67,230.5,8.228,12.0,3.598,11.11,-0.294,-1.182,0.3495
cc_n301,301,two_q,1,6.979,12,12,2397.0,2655.0,2493.75,2481.0,68.591,66.75,2.751,10.76,0.94,0.696,0.4221
qugan_n71,71,two_q,12,0.135,12,12,1122.0,1236.0,1172.67,1171.0,41.832,75.25,3.567,10.16,0.156,-1.447,0.2131
knn_129,129,two_q,12,0.134,12,11,1353.0,1481.0,1416.58,1435.5,45.928,76.0,3.242,9.46,-0.3,-1.393,0.0979
swap_test_n115,115,two_q,12,0.117,12,11,1139.0,1245.0,1202.58,1205.5,34.516,55.5,2.87,9.31,-0.34,-0.991,0.4586
vqe_uccsd_n28,28,two_q,3,49.67,3,3,363615.0,396012.0,375030.0,365463.0,18194.423,16198.5,4.851,8.91,0.699,-1.5,
adder_n118,118,two_q,12,0.194,12,12,2337.0,2533.0,2453.33,2461.0,57.581,84.25,2.347,8.39,-0.551,-0.58,0.7386
adder_n64,64,two_q,12,0.101,12,12,1136.0,1217.0,1174.08,1174.0,26.651,33.25,2.27,7.13,0.214,-0.928,0.6226
qft_n160,160,two_q,12,0.977,12,12,16405.0,17563.0,17120.17,17232.5,353.513,365.5,2.065,7.06,-0.782,-0.49,0.1952
knn_341,341,two_q,12,0.409,12,11,4310.0,4599.0,4432.75,4449.5,81.485,102.5,1.838,6.71,0.25,-0.359,0.6265
adder_n433,433,two_q,12,0.873,12,12,10872.0,11570.0,11226.5,11247.0,196.511,225.25,1.75,6.42,-0.197,-0.504,0.9755
32,32,two_q,12,0.375,12,11,4851.0,5109.0,4998.75,5023.5,75.225,83.25,1.505,5.32,-0.42,-0.612,0.7841
multiplier_n45,45,two_q,12,0.574,12,12,7155.0,7522.0,7366.5,7365.0,109.521,152.5,1.487,5.13,-0.237,-0.723,0.6729
qft_n320,320,two_q,12,2.354,12,12,37601.0,38756.0,38278.92,38309.5,302.34,242.25,0.79,3.07,-0.747,0.466,0.5325
square_root_n45,45,two_q,8,16.047,8,8,204326.0,210286.0,208089.62,208645.0,1842.77,1470.75,0.886,2.92,-1.018,0.264,0.3205
multiplier_n75,75,two_q,12,1.674,12,12,22500.0,23129.0,22863.08,22862.5,159.144,109.5,0.696,2.8,-0.55,0.728,0.458
100,100,two_q,12,6.722,12,12,105540.0,106959.0,106355.5,106368.0,423.072,392.25,0.398,1.34,-0.509,-0.44,0.5121
multiplier_n400,400,two_q,2,68.304,2,2,817862.0,824964.0,821413.0,821413.0,5021.872,3551.0,0.611,0.87,,,
multiplier_n350,350,two_q,3,50.672,3,3,615709.0,620117.0,617219.33,615832.0,2510.206,2204.0,0.407,0.72,0.705,-1.5,
bwt_n37,37,two_q,1,263.815,1,1,2276492.0,2276492.0,2276492.0,2276492.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.079,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.03,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.04,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.065,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.041,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.069,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
ising_n34,34,two_q,1,0.032,12,1,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,,,
ising_n42,42,two_q,1,0.057,12,1,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,,,
ising_n420,420,two_q,1,0.837,12,1,838.0,838.0,838.0,838.0,0.0,0.0,0.0,0.0,,,
ising_n66,66,two_q,1,0.051,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
square_root_n60,60,two_q,1,153.973,1,1,1743493.0,1743493.0,1743493.0,1743493.0,0.0,0.0,0.0,0.0,,,
wstate_n118,118,two_q,1,0.077,12,1,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,,,
wstate_n36,36,two_q,1,0.035,12,1,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
wstate_n76,76,two_q,1,0.07,12,1,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,,,
