circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
qft_n320,320,two_q,12,4.386,12,12,83566.0,172915.0,147718.42,163124.0,29246.192,32684.25,19.799,106.92,-1.138,-0.118,0.0069
bv_n140,140,two_q,10,0.042,12,9,312.0,456.0,401.0,403.5,49.894,95.25,12.443,46.15,-0.31,-1.156,0.1938
bv_n70,70,two_q,12,0.021,12,9,138.0,189.0,153.75,153.0,13.785,13.5,8.966,36.96,1.365,1.594,0.0608
qft_n160,160,two_q,12,1.183,12,12,32923.0,42568.0,41007.17,41893.0,2633.348,877.25,6.422,29.3,-2.687,5.842,0.0
bv_n30,30,two_q,12,0.012,12,3,66.0,78.0,67.5,66.0,3.503,0.75,5.19,18.18,2.504,5.04,0.0
qft_n29,29,two_q,12,0.097,12,11,1586.0,1804.0,1683.92,1684.0,59.694,56.0,3.545,13.75,0.326,-0.274,0.9948
multiplier_n75,75,two_q,12,1.583,12,12,24332.0,27481.0,25355.92,24760.0,1166.615,1876.5,4.601,12.94,0.793,-1.049,0.0097
qft_n63,63,two_q,12,0.28,12,12,7107.0,7596.0,7337.42,7332.5,132.952,171.75,1.812,6.88,0.211,-0.363,1.0
multiplier_n45,45,two_q,12,0.527,12,12,8005.0,8514.0,8249.17,8230.5,180.891,286.0,2.193,6.36,0.051,-1.394,0.3726
32,32,two_q,12,0.44,12,12,9948.0,10350.0,10150.5,10141.5,99.445,65.25,0.98,4.04,0.061,0.576,0.6708
dnn_n51,51,two_q,12,0.075,12,8,587.0,608.0,596.83,597.5,5.54,5.25,0.928,3.58,0.123,-0.036,0.8598
qugan_n39,39,two_q,12,0.066,12,5,452.0,467.0,462.5,464.0,4.871,2.25,1.053,3.32,-1.131,-0.007,0.0063
dnn_n33,33,two_q,12,0.048,12,5,365.0,377.0,373.25,374.0,3.864,6.0,1.035,3.29,-0.85,-0.226,0.0573
adder_n64,64,two_q,12,0.083,12,10,822.0,847.0,835.83,836.5,6.337,5.5,0.758,3.04,-0.503,0.42,0.7601
multiplier_n400,400,two_q,2,74.491,2,2,925412.0,951156.0,938284.0,938284.0,18203.757,12872.0,1.94,2.78,,,
multiplier_n350,350,two_q,3,52.904,3,3,693936.0,711203.0,700143.67,695292.0,9601.631,8633.5,1.371,2.49,0.691,-1.5,
qugan_n71,71,two_q,12,0.121,12,5,863.0,884.0,872.0,872.0,5.117,3.0,0.587,2.43,0.804,1.172,0.0395
adder_n433,433,two_q,12,1.603,12,12,5457.0,5562.0,5525.92,5533.0,28.079,23.5,0.508,1.92,-1.276,1.149,0.0866
adder_n118,118,two_q,12,0.163,12,10,1479.0,1506.0,1491.75,1487.5,8.935,13.75,0.599,1.83,0.356,-1.26,0.2092
adder_n28,28,two_q,9,0.035,12,2,372.0,378.0,375.5,378.0,3.09,6.0,0.823,1.61,-0.338,-1.886,0.0002
qugan_n111,111,two_q,12,0.195,12,8,1367.0,1388.0,1377.5,1376.0,6.068,6.75,0.44,1.54,0.034,-0.667,0.9165
swap_test_n115,115,two_q,4,0.092,12,2,735.0,744.0,740.25,744.0,4.634,9.0,0.626,1.22,-0.338,-1.886,0.0002
qugan_n395,395,two_q,12,1.059,12,10,4958.0,5015.0,4990.75,4994.0,17.746,18.0,0.356,1.15,-0.405,-0.767,0.6291
knn_129,129,two_q,3,0.102,12,2,826.0,835.0,826.75,826.0,2.598,0.0,0.314,1.09,3.015,7.091,0.0
100,100,two_q,9,14.06,9,9,378912.0,382197.0,380376.33,380169.0,982.668,1332.0,0.258,0.87,0.383,-0.462,0.9337
knn_341,341,two_q,3,0.464,12,2,2204.0,2213.0,2206.25,2204.0,4.07,2.25,0.184,0.41,1.155,-0.667,0.0
swap_test_n361,361,two_q,3,0.52,12,2,2334.0,2343.0,2336.25,2334.0,4.07,2.25,0.174,0.39,1.155,-0.667,0.0
square_root_n45,45,two_q,8,15.069,8,8,289832.0,290918.0,290641.12,290766.0,351.157,246.25,0.121,0.37,-1.71,1.722,0.0072
vqe_uccsd_n28,28,two_q,4,37.492,4,4,233081.0,233517.0,233233.5,233168.0,197.493,182.5,0.085,0.19,0.886,-0.905,
bv_n280,280,two_q,2,0.097,12,1,965.0,965.0,965.0,965.0,0.0,0.0,0.0,0.0,,,
bwt_n37,37,two_q,1,245.304,1,1,3345614.0,3345614.0,3345614.0,3345614.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.013,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n260,260,two_q,1,0.02,12,1,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.008,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.009,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
cc_n151,151,two_q,1,1.627,12,1,594.0,594.0,594.0,594.0,0.0,0.0,0.0,0.0,,,
cc_n301,301,two_q,1,6.145,12,1,1194.0,1194.0,1194.0,1194.0,0.0,0.0,0.0,0.0,,,
cc_n32,32,two_q,1,0.122,12,1,118.0,118.0,118.0,118.0,0.0,0.0,0.0,0.0,,,
cc_n64,64,two_q,1,0.348,12,1,246.0,246.0,246.0,246.0,0.0,0.0,0.0,0.0,,,
