circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
bv_n70,70,two_q,12,0.041,12,9,111.0,150.0,130.75,130.5,12.099,19.5,9.254,35.14,-0.09,-1.066,0.8789
bv_n30,30,two_q,12,0.025,12,5,39.0,51.0,45.0,45.0,3.618,3.75,8.04,30.77,0.325,-0.562,0.2123
cc_n32,32,two_q,1,0.133,12,7,97.0,124.0,111.5,112.0,6.749,6.75,6.053,27.84,-0.335,0.47,0.6618
bv_n280,280,two_q,12,0.103,12,12,731.0,917.0,862.75,873.5,49.003,34.5,5.68,25.44,-1.674,2.465,0.0188
bv_n140,140,two_q,12,0.071,12,10,300.0,372.0,335.5,334.5,22.77,27.0,6.787,24.0,0.188,-0.784,0.7201
cc_n151,151,two_q,1,1.734,12,10,780.0,921.0,862.75,876.0,40.279,47.25,4.669,18.08,-0.733,-0.242,0.4163
qugan_n39,39,two_q,12,0.068,12,11,388.0,456.0,418.83,419.0,19.586,15.5,4.676,17.53,0.468,-0.253,0.5141
qugan_n111,111,two_q,12,0.207,12,11,1465.0,1655.0,1573.17,1578.0,61.397,85.0,3.903,12.97,-0.175,-1.012,0.6904
knn_n31,31,two_q,12,0.036,12,10,179.0,202.0,191.08,189.5,6.473,8.75,3.388,12.85,0.048,-0.558,0.8316
qft_n29,29,two_q,12,0.099,12,12,1193.0,1338.0,1263.83,1267.0,36.321,43.0,2.874,12.15,0.018,0.327,0.7758
cc_n301,301,two_q,1,6.869,12,12,1896.0,2121.0,2029.75,2037.0,66.204,87.0,3.262,11.87,-0.537,-0.504,0.8111
adder_n64,64,two_q,12,0.091,12,11,884.0,987.0,934.75,938.0,27.049,19.5,2.894,11.65,-0.076,-0.013,0.5814
swap_test_n83,83,two_q,12,0.107,12,12,553.0,615.0,586.75,585.5,20.271,33.5,3.455,11.21,-0.024,-1.21,0.6122
cc_n64,64,two_q,1,0.387,12,8,273.0,303.0,288.5,288.0,10.917,18.75,3.784,10.99,-0.081,-1.43,0.1939
dnn_n51,51,two_q,12,0.086,12,11,560.0,621.0,590.67,590.0,18.612,24.25,3.151,10.89,-0.249,-0.744,0.7399
knn_n67,67,two_q,12,0.089,12,11,469.0,520.0,502.42,501.0,15.477,20.75,3.081,10.87,-0.661,-0.244,0.2377
knn_129,129,two_q,12,0.151,12,11,1056.0,1165.0,1101.42,1105.5,38.368,62.25,3.483,10.32,0.173,-1.291,0.2664
qugan_n395,395,two_q,12,0.871,12,12,6882.0,7585.0,7177.33,7172.0,169.602,126.75,2.363,10.22,0.776,1.315,0.2707
qugan_n71,71,two_q,12,0.126,12,12,833.0,917.0,874.58,875.5,30.372,48.25,3.473,10.08,0.129,-1.407,0.2564
adder_n118,118,two_q,12,0.185,12,12,1781.0,1957.0,1867.75,1864.0,57.675,80.25,3.088,9.88,0.192,-1.075,0.6829
swap_test_n115,115,two_q,12,0.122,12,11,874.0,960.0,910.83,915.5,30.232,47.75,3.319,9.84,0.138,-1.241,0.2848
adder_n28,28,two_q,12,0.042,12,11,330.0,360.0,341.83,340.0,8.462,9.0,2.475,9.09,0.712,-0.118,0.6945
dnn_n33,33,two_q,12,0.055,12,8,320.0,347.0,333.92,333.5,8.66,8.25,2.593,8.44,-0.036,-0.862,0.5275
knn_n41,41,two_q,12,0.05,12,9,260.0,278.0,268.75,269.0,5.225,4.0,1.944,6.92,0.26,-0.409,0.6643
swap_test_n41,41,two_q,12,0.047,12,9,260.0,278.0,268.75,269.0,5.225,4.0,1.944,6.92,0.26,-0.409,0.6643
swap_test_n361,361,two_q,12,0.466,12,11,3657.0,3879.0,3814.75,3840.5,67.314,46.0,1.765,6.07,-1.439,0.791,0.0061
qft_n63,63,two_q,12,0.277,12,12,3925.0,4155.0,4033.0,4047.5,67.371,93.0,1.671,5.86,-0.047,-0.77,0.8643
adder_n433,433,two_q,12,0.837,12,12,7539.0,7954.0,7761.83,7763.5,118.943,175.25,1.532,5.5,-0.156,-0.642,0.982
knn_341,341,two_q,12,0.427,12,12,2813.0,2956.0,2880.25,2884.0,44.634,60.25,1.55,5.08,0.204,-0.897,0.8634
qft_n320,320,two_q,12,2.054,12,11,27968.0,28954.0,28525.17,28586.5,310.931,369.0,1.09,3.53,-0.419,-0.941,0.4951
multiplier_n45,45,two_q,12,0.52,12,12,5944.0,6152.0,6078.25,6082.5,52.425,37.0,0.863,3.5,-1.283,1.786,0.0961
32,32,two_q,12,0.344,12,11,3588.0,3702.0,3635.5,3634.5,28.542,15.0,0.785,3.18,0.639,0.982,0.2898
qft_n160,160,two_q,12,0.893,12,12,12550.0,12945.0,12753.5,12746.0,128.381,177.5,1.007,3.15,0.087,-1.235,0.5618
multiplier_n75,75,two_q,12,1.536,12,12,18408.0,18748.0,18600.17,18612.0,110.363,131.5,0.593,1.85,-0.389,-0.871,0.6562
multiplier_n400,400,two_q,2,66.019,2,2,642043.0,652196.0,647119.5,647119.5,7179.255,5076.5,1.109,1.58,,,
100,100,two_q,12,5.864,12,12,75702.0,76662.0,76266.75,76323.0,318.53,483.75,0.418,1.27,-0.295,-1.247,0.2765
multiplier_n350,350,two_q,3,49.273,3,3,488816.0,493786.0,491722.0,492564.0,2589.778,2485.0,0.527,1.02,-0.534,-1.5,
square_root_n45,45,two_q,9,13.623,9,9,163130.0,164393.0,163748.33,163727.0,372.521,313.0,0.227,0.77,0.215,-0.386,0.9082
bwt_n37,37,two_q,1,220.636,1,1,1722723.0,1722723.0,1722723.0,1722723.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.058,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n260,260,two_q,1,0.103,12,1,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.087,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.037,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.058,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.032,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.515,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
ghz_state_n255,255,two_q,1,1.917,12,1,254.0,254.0,254.0,254.0,0.0,0.0,0.0,0.0,,,
ising_n34,34,two_q,1,0.049,12,1,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,,,
ising_n42,42,two_q,1,0.035,12,1,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,,,
ising_n420,420,two_q,1,0.241,12,1,838.0,838.0,838.0,838.0,0.0,0.0,0.0,0.0,,,
ising_n66,66,two_q,1,0.049,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
ising_n98,98,two_q,1,0.7,12,1,194.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,,,
square_root_n60,60,two_q,1,136.454,1,1,1323052.0,1323052.0,1323052.0,1323052.0,0.0,0.0,0.0,0.0,,,
