circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4923,0.8087,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4923,0.8757,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.5387,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.7907,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5063,0.7827,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.1243,0.0,0.1753,0.0,0.2877,0.0,0.493,0.6567,0.7073,1.0,0.856,1.0,0.9833,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5973,0.8253,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.0817,0.0,0.138,0.0,0.2453,0.0,0.5093,0.786,0.7593,1.0,0.8927,1.0,0.994,1.0
bv_n70,12,0.0883,0.0,0.1413,0.0,0.2473,0.0,0.5193,0.7683,0.7217,1.0,0.9007,1.0,0.9927,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6053,0.824,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5297,0.5553,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.0397,0.0,0.101,0.0,0.203,0.0,0.52,0.817,0.7837,1.0,0.9357,1.0,0.9943,1.0
cc_n64,12,0.042,0.0,0.1977,0.0,0.244,0.0,0.565,0.9247,0.7373,1.0,0.9607,1.0,0.9963,1.0
dnn_n33,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5077,0.9507,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n51,12,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.7163,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n127,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n40,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n78,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_state_n255,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n34,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n42,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n420,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n66,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n98,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_129,12,0.0,0.0,0.0,0.0,0.0,0.0,0.7527,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_341,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5703,0.657,1.0,1.0,1.0,1.0,1.0,1.0
knn_n31,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n41,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n67,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
multiplier_n45,12,0.0,0.0,0.0,0.0,0.0003,0.0,0.4973,0.7963,0.9973,1.0,1.0,1.0,1.0,1.0
multiplier_n75,12,0.0003,0.0,0.0033,0.0,0.065,0.0,0.494,0.6867,0.9183,1.0,0.9993,1.0,1.0,1.0
qft_n160,12,0.0117,0.0,0.0317,0.0,0.1107,0.0,0.4877,0.7407,0.8723,1.0,0.9777,1.0,1.0,1.0
qft_n29,12,0.0,0.0,0.0003,0.0,0.018,0.0,0.5043,0.8603,0.976,1.0,1.0,1.0,1.0,1.0
qft_n320,12,0.2133,0.0,0.2573,0.0,0.344,0.0,0.5033,0.803,0.6653,1.0,0.7657,1.0,0.9083,1.0
qft_n63,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5043,0.7197,1.0,1.0,1.0,1.0,1.0,1.0
qugan_n111,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4863,0.8357,1.0,1.0,1.0,1.0,1.0,1.0
qugan_n39,12,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.808,1.0,1.0,1.0,1.0,1.0,1.0
qugan_n395,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5063,0.8797,1.0,1.0,1.0,1.0,1.0,1.0
qugan_n71,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4937,0.5467,1.0,1.0,1.0,1.0,1.0,1.0
swap_test_n115,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5063,0.565,1.0,1.0,1.0,1.0,1.0,1.0
swap_test_n361,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5773,0.6417,1.0,1.0,1.0,1.0,1.0,1.0
swap_test_n41,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
swap_test_n83,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wstate_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wstate_n36,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wstate_n380,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
wstate_n76,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
