circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,0.9365,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.8935,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6583,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5088,0.7833,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5198,0.8978,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.1797,0.0,0.234,0.0,0.3382,0.0,0.5092,0.6893,0.659,1.0,0.7903,1.0,0.949,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5897,0.8005,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.1273,0.0,0.1787,0.0,0.28,0.0,0.5095,0.8842,0.7135,1.0,0.8425,1.0,0.967,1.0
bv_n70,12,0.15,0.0,0.1998,0.0,0.3088,0.0,0.5122,0.8575,0.6887,1.0,0.8395,1.0,0.971,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.776,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5168,0.622,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.1285,0.0,0.1675,0.0,0.2072,0.0,0.515,0.832,0.7927,1.0,0.8668,1.0,0.983,1.0
cc_n64,12,0.1842,0.0,0.1855,0.0,0.1835,0.0,0.6048,1.0,0.812,1.0,0.82,1.0,0.9842,1.0
dnn_n33,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5212,0.9233,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n51,12,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.7725,0.9998,1.0,1.0,1.0,1.0,1.0
ghz_n127,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n40,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n78,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_state_n255,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n34,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n42,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n420,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n66,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n98,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_129,12,0.0,0.0,0.0,0.0,0.0,0.0,0.8237,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_341,12,0.0,0.0,0.0,0.0,0.0,0.0,0.706,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n31,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n41,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n67,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
multiplier_n45,12,0.0,0.0,0.0,0.0,0.0053,0.0,0.4953,0.8502,0.9892,1.0,1.0,1.0,1.0,1.0
multiplier_n75,12,0.0045,0.0,0.0222,0.0,0.1128,0.0,0.4988,0.8073,0.8735,1.0,0.989,1.0,1.0,1.0
qft_n160,12,0.0192,0.0,0.0932,0.0,0.174,0.0,0.5008,0.8227,0.8195,1.0,0.9607,1.0,0.9995,1.0
qft_n29,12,0.0003,0.0,0.0045,0.0,0.0447,0.0,0.4948,0.9413,0.9485,1.0,0.9995,1.0,1.0,1.0
qft_n320,12,0.2715,0.0,0.307,0.0,0.361,0.0,0.5108,0.8277,0.6065,1.0,0.7115,1.0,0.853,1.0
qft_n63,12,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.834,0.9995,1.0,1.0,1.0,1.0,1.0
qugan_n111,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5098,0.8393,1.0,1.0,1.0,1.0,1.0,1.0
qugan_n39,12,0.0,0.0,0.0,0.0,0.0013,0.0,0.5125,0.9685,0.9985,1.0,1.0,1.0,1.0,1.0
