topology,circuit,qiskit_old,qiskit_new,n_seeds_old,n_seeds_new,k,threshold,true_change_pct,p_call,ci_lo,ci_hi,ci_width,boundary_artifact,verdict,ci_method_point,ci_method_interval
heavy-hex,100,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,32,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,adder_n118,2.0.2,2.0.0,12,12,3,0.1,6.243,0.0454,0.0003,0.2362,0.2359,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,adder_n28,2.0.2,2.0.0,12,12,3,0.1,5.105,0.0605,0.0001,0.2966,0.2965,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,adder_n433,2.0.2,2.0.0,12,12,3,0.1,4.751,0.0007,0.0,0.0125,0.0125,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,adder_n64,2.0.2,2.0.0,12,12,3,0.1,6.308,0.043,0.0006,0.2269,0.2262,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,bv_n140,2.0.2,2.0.0,12,12,3,0.1,4.936,0.2199,0.0257,0.601,0.5753,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,bv_n280,2.0.2,2.0.0,12,12,3,0.1,3.709,0.112,0.0032,0.4003,0.3972,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,bv_n30,2.0.2,2.0.0,12,12,3,0.1,8.644,0.4582,0.1297,0.8274,0.6976,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,bv_n70,2.0.2,2.0.0,12,12,3,0.1,7.85,0.3977,0.0862,0.7963,0.7102,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
