topology,circuit,qiskit_old,qiskit_new,n_seeds_old,n_seeds_new,k,threshold,true_change_pct,p_call,ci_lo,ci_hi,ci_width,boundary_artifact,verdict,ci_method_point,ci_method_interval
linear,32,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,adder_n118,2.0.2,2.0.0,12,12,3,0.1,13.867,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,adder_n28,2.0.2,2.0.0,12,12,3,0.1,5.035,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,adder_n433,2.0.2,2.0.0,12,12,3,0.1,14.521,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,adder_n64,2.0.2,2.0.0,12,12,3,0.1,10.682,0.7932,0.432,0.9784,0.5464,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,bv_n140,2.0.2,2.0.0,12,12,3,0.1,31.836,0.9622,0.799,0.9998,0.2008,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,bv_n280,2.0.2,2.0.0,12,12,3,0.1,44.605,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,bv_n30,2.0.2,2.0.0,12,12,3,0.1,22.356,0.9302,0.7016,1.0,0.2984,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,bv_n70,2.0.2,2.0.0,12,12,3,0.1,28.751,0.9777,0.8587,1.0,0.1413,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cat_n130,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cat_n260,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cat_n35,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cat_n65,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cc_n151,2.0.2,2.0.0,12,12,3,0.1,97.124,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cc_n301,2.0.2,2.0.0,12,12,3,0.1,98.669,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cc_n32,2.0.2,2.0.0,12,12,3,0.1,32.336,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,cc_n64,2.0.2,2.0.0,12,12,3,0.1,87.786,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,dnn_n33,2.0.2,2.0.0,12,12,3,0.1,20.891,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,dnn_n51,2.0.2,2.0.0,12,12,3,0.1,20.776,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ghz_n127,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ghz_n40,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ghz_n78,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ghz_state_n255,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ising_n34,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ising_n42,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ising_n420,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ising_n66,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,ising_n98,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,knn_129,2.0.2,2.0.0,12,12,3,0.1,42.728,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,knn_341,2.0.2,2.0.0,12,12,3,0.1,43.659,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,knn_n31,2.0.2,2.0.0,12,12,3,0.1,37.956,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,knn_n41,2.0.2,2.0.0,12,12,3,0.1,39.56,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,knn_n67,2.0.2,2.0.0,12,12,3,0.1,41.472,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,multiplier_n45,2.0.2,2.0.0,12,12,3,0.1,7.872,0.1493,0.0143,0.5144,0.5001,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,multiplier_n75,2.0.2,2.0.0,12,12,3,0.1,7.486,0.2827,0.0309,0.6688,0.6379,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qft_n160,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0214,0.0,0.1653,0.1653,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qft_n29,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0002,0.0,0.0053,0.0053,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qft_n320,2.0.2,2.0.0,12,12,3,0.1,0.0,0.271,0.0165,0.631,0.6145,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qft_n63,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qugan_n111,2.0.2,2.0.0,12,12,3,0.1,19.187,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qugan_n39,2.0.2,2.0.0,12,12,3,0.1,19.535,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qugan_n395,2.0.2,2.0.0,12,12,3,0.1,18.938,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,qugan_n71,2.0.2,2.0.0,12,12,3,0.1,19.112,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,swap_test_n115,2.0.2,2.0.0,12,12,3,0.1,41.337,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,swap_test_n361,2.0.2,2.0.0,12,12,3,0.1,43.703,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,swap_test_n41,2.0.2,2.0.0,12,12,3,0.1,39.56,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,swap_test_n83,2.0.2,2.0.0,12,12,3,0.1,42.049,1.0,1.0,1.0,0.0,False,STABLE_REGRESSION,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,wstate_n118,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,wstate_n36,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,wstate_n380,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
linear,wstate_n76,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
