topology,circuit,qiskit_old,qiskit_new,n_seeds_old,n_seeds_new,k,threshold,true_change_pct,p_call,ci_lo,ci_hi,ci_width,boundary_artifact,verdict,ci_method_point,ci_method_interval
square,100,2.0.2,2.0.0,12,12,3,0.1,0.009,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,32,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,adder_n118,2.0.2,2.0.0,12,12,3,0.1,5.877,0.0637,0.0016,0.291,0.2895,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,adder_n28,2.0.2,2.0.0,12,12,3,0.1,3.848,0.0011,0.0,0.0186,0.0186,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,adder_n433,2.0.2,2.0.0,12,12,3,0.1,5.195,0.0015,0.0,0.0263,0.0263,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,adder_n64,2.0.2,2.0.0,12,12,3,0.1,5.354,0.0394,0.0001,0.2054,0.2053,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,bv_n140,2.0.2,2.0.0,12,12,3,0.1,3.019,0.1158,0.0057,0.4049,0.3992,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,bv_n280,2.0.2,2.0.0,12,12,3,0.1,2.232,0.0612,0.0,0.2788,0.2788,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,bv_n30,2.0.2,2.0.0,12,12,3,0.1,6.299,0.3015,0.0473,0.6926,0.6454,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,bv_n70,2.0.2,2.0.0,12,12,3,0.1,3.976,0.2244,0.0246,0.5948,0.5702,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cat_n130,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cat_n260,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cat_n35,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cat_n65,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cc_n151,2.0.2,2.0.0,12,12,3,0.1,1.709,0.018,0.0,0.1366,0.1366,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cc_n301,2.0.2,2.0.0,12,12,3,0.1,1.678,0.0014,0.0,0.0187,0.0187,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cc_n32,2.0.2,2.0.0,12,12,3,0.1,3.882,0.1273,0.0007,0.4524,0.4518,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,cc_n64,2.0.2,2.0.0,12,12,3,0.1,5.036,0.0994,0.0072,0.3752,0.368,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,dnn_n33,2.0.2,2.0.0,12,12,3,0.1,9.123,0.3514,0.0768,0.7376,0.6608,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,dnn_n51,2.0.2,2.0.0,12,12,3,0.1,7.622,0.2391,0.0274,0.6162,0.5888,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ghz_n127,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ghz_n40,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ghz_n78,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ghz_state_n255,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ising_n34,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ising_n42,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ising_n420,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ising_n66,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,ising_n98,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,knn_129,2.0.2,2.0.0,12,12,3,0.1,5.315,0.0581,0.0019,0.2541,0.2522,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,knn_341,2.0.2,2.0.0,12,12,3,0.1,6.145,0.0021,0.0,0.0264,0.0264,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,knn_n31,2.0.2,2.0.0,12,12,3,0.1,3.756,0.0212,0.0,0.1347,0.1347,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,knn_n41,2.0.2,2.0.0,12,12,3,0.1,4.776,0.0025,0.0,0.0348,0.0348,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,knn_n67,2.0.2,2.0.0,12,12,3,0.1,4.816,0.037,0.0001,0.2023,0.2021,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,multiplier_n45,2.0.2,2.0.0,12,12,3,0.1,5.585,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,multiplier_n75,2.0.2,2.0.0,12,12,3,0.1,5.07,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qft_n160,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qft_n29,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0008,0.0008,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qft_n320,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qft_n63,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qugan_n111,2.0.2,2.0.0,12,12,3,0.1,7.992,0.2788,0.0428,0.6543,0.6115,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qugan_n39,2.0.2,2.0.0,12,12,3,0.1,9.547,0.4611,0.1302,0.8366,0.7063,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qugan_n395,2.0.2,2.0.0,12,12,3,0.1,6.195,0.0334,0.0,0.1927,0.1927,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
square,qugan_n71,2.0.2,2.0.0,12,12,3,0.1,9.084,0.3862,0.0847,0.7723,0.6876,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
