topology,circuit,qiskit_baseline,qiskit_candidate,n_seeds,k,threshold,true_change_pct,true_change_ci_lo_pct,true_change_ci_hi_pct,ground_truth,p_call_unpaired,p_call_paired,unstable_cat3,error_kind,error_rate,demonstrated_error_cat4,in_issue_14402
linear,32,1.4.3,2.0.0,12,3,0.1,0.363,-0.337,1.036,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,adder_n118,1.4.3,2.0.0,12,3,0.1,14.5,13.703,15.288,REGRESSION,1.0,1.0,False,FALSE_NEGATIVE,0.0,False,False
linear,adder_n28,1.4.3,2.0.0,12,3,0.1,5.33,4.628,5.915,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,adder_n433,1.4.3,2.0.0,12,3,0.1,13.987,13.423,14.627,REGRESSION,1.0,1.0,False,FALSE_NEGATIVE,0.0,False,False
linear,adder_n64,1.4.3,2.0.0,12,3,0.1,11.21,10.12,12.274,REGRESSION,0.9043,0.8594,True,FALSE_NEGATIVE,0.0957,True,False
linear,bv_n140,1.4.3,2.0.0,12,3,0.1,35.207,21.61,49.323,REGRESSION,0.9799,0.9676,False,FALSE_NEGATIVE,0.0201,False,True
linear,bv_n280,1.4.3,2.0.0,12,3,0.1,44.533,44.317,44.75,REGRESSION,1.0,1.0,False,FALSE_NEGATIVE,0.0,False,True
linear,bv_n30,1.4.3,2.0.0,12,3,0.1,23.288,15.186,31.804,REGRESSION,0.9613,0.9537,False,FALSE_NEGATIVE,0.0387,False,False
linear,bv_n70,1.4.3,2.0.0,12,3,0.1,30.573,21.85,40.613,REGRESSION,0.9919,0.9994,False,FALSE_NEGATIVE,0.0081,False,False
linear,cat_n130,1.4.3,2.0.0,12,3,0.1,0.0,0.0,0.0,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cat_n260,1.4.3,2.0.0,12,3,0.1,0.0,0.0,0.0,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cat_n35,1.4.3,2.0.0,12,3,0.1,0.0,0.0,0.0,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cat_n65,1.4.3,2.0.0,12,3,0.1,0.0,0.0,0.0,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cc_n151,1.4.3,2.0.0,12,3,0.1,-0.697,-0.835,-0.558,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cc_n301,1.4.3,2.0.0,12,3,0.1,-0.569,-0.624,-0.514,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cc_n32,1.4.3,2.0.0,12,3,0.1,-20.09,-21.158,-18.993,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,cc_n64,1.4.3,2.0.0,12,3,0.1,-11.828,-14.136,-10.055,NO_REGRESSION,0.0,0.0,False,FALSE_POSITIVE,0.0,False,False
linear,dnn_n33,1.4.3,2.0.0,12,3,0.1,22.177,20.618,23.597,REGRESSION,1.0,1.0,False,FALSE_NEGATIVE,0.0,False,False
linear,dnn_n51,1.4.3,2.0.0,12,3,0.1,20.41,19.013,21.871,REGRESSION,1.0,1.0,False,FALSE_NEGATIVE,0.0,False,False
