circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
qugan_n39,12,12,429,515,491,559,463.9,520.8,12.25,0.6528,0.6985,UNSTABLE,UNSTABLE
vqe_uccsd_n28,3,3,324154,357452,363615,396012,335800.7,375030.0,11.68,0.7778,0.6735,UNSTABLE,UNSTABLE
dnn_n33,12,12,347,406,381,447,370.9,410.5,10.67,0.5417,0.556,UNSTABLE,UNSTABLE
qugan_n71,12,12,1005,1137,1122,1236,1069.2,1172.7,9.67,0.4722,0.4665,UNSTABLE,UNSTABLE
bv_n30,12,12,48,70,54,72,55.9,60.8,8.64,0.5278,0.464,UNSTABLE,UNSTABLE
dnn_n51,12,12,615,718,669,786,670.8,732.7,9.22,0.4583,0.4155,UNSTABLE,UNSTABLE
bv_n70,12,12,127,166,135,174,146.5,158.0,7.85,0.4306,0.411,UNSTABLE,UNSTABLE
qugan_n111,12,12,1530,1935,1708,2082,1817.0,1977.5,8.83,0.4028,0.3895,UNSTABLE,UNSTABLE
knn_n41,12,12,271,333,299,353,298.8,323.7,8.34,0.4444,0.373,UNSTABLE,UNSTABLE
swap_test_n41,12,12,271,333,299,353,298.8,323.7,8.34,0.4444,0.3705,UNSTABLE,UNSTABLE
cc_n32,12,12,95,146,103,148,121.8,129.5,6.29,0.4167,0.338,UNSTABLE,UNSTABLE
knn_n31,12,12,195,224,216,240,212.2,228.7,7.73,0.3542,0.2565,UNSTABLE,UNSTABLE
cc_n64,12,12,290,356,306,369,324.3,342.8,5.7,0.3264,0.2425,UNSTABLE,UNSTABLE
bv_n140,12,12,365,464,381,480,411.9,432.2,4.94,0.3264,0.2225,UNSTABLE,UNSTABLE
swap_test_n83,12,12,647,796,704,842,753.0,803.0,6.64,0.2847,0.2185,UNSTABLE,UNSTABLE
knn_n67,12,12,524,644,567,667,574.3,611.0,6.38,0.3333,0.216,UNSTABLE,UNSTABLE
cc_n151,12,12,873,1113,921,1143,1000.4,1040.2,3.98,0.2917,0.157,UNSTABLE,UNSTABLE
bv_n280,12,12,924,1134,962,1178,1051.5,1090.5,3.71,0.25,0.1135,UNSTABLE,UNSTABLE
swap_test_n115,12,12,1070,1171,1139,1245,1125.2,1202.6,6.87,0.2431,0.1105,UNSTABLE,UNSTABLE
swap_test_n361,12,12,4176,4862,4448,5133,4552.2,4812.8,5.72,0.2083,0.096,UNSTABLE,UNSTABLE
knn_129,12,12,1266,1410,1353,1481,1332.9,1416.6,6.28,0.2361,0.0885,UNSTABLE,UNSTABLE
cat_n260,12,12,2168,2539,2248,2617,2333.5,2408.5,3.21,0.1944,0.0755,UNSTABLE,UNSTABLE
ghz_state_n255,12,12,1981,2352,2063,2429,2226.2,2297.8,3.21,0.2222,0.073,UNSTABLE,UNSTABLE
qugan_n395,12,12,9459,10602,10021,11152,9977.1,10539.4,5.64,0.2014,0.0635,UNSTABLE,UNSTABLE
adder_n28,12,12,387,440,403,462,408.1,428.9,5.11,0.1806,0.0625,UNSTABLE,UNSTABLE
adder_n118,12,12,2181,2398,2337,2533,2309.2,2453.3,6.24,0.1875,0.057,UNSTABLE,UNSTABLE
adder_n64,12,12,1068,1164,1136,1217,1104.4,1174.1,6.31,0.1736,0.038,UNSTABLE,STABLE_CLEAN
multiplier_n45,12,12,6673,7043,7155,7522,6871.8,7366.5,7.2,0.125,0.0205,UNSTABLE,STABLE_CLEAN
knn_341,12,12,4054,4339,4310,4599,4174.3,4432.8,6.19,0.0764,0.0065,UNSTABLE,STABLE_CLEAN
wstate_n380,12,12,7012,7905,7176,8081,7345.1,7503.2,2.15,0.0694,0.003,UNSTABLE,STABLE_CLEAN
cc_n301,12,12,2301,2591,2397,2655,2420.2,2493.8,3.04,0.0486,0.002,STABLE_CLEAN,STABLE_CLEAN
ising_n98,12,12,546,623,546,623,573.9,573.9,0.0,0.0417,0.002,STABLE_CLEAN,STABLE_CLEAN
100,12,12,105540,106959,105540,106959,106355.5,106355.5,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
32,12,12,4851,5109,4851,5109,4998.8,4998.8,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n433,12,12,10276,11088,10872,11570,10717.3,11226.5,4.75,0.0417,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n130,12,12,129,129,129,129,129.0,129.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n35,12,12,34,34,34,34,34.0,34.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n65,12,12,64,64,64,64,64.0,64.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n127,12,12,126,126,126,126,126.0,126.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n40,12,12,39,39,39,39,39.0,39.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n78,12,12,77,77,77,77,77.0,77.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n34,12,12,66,66,66,66,66.0,66.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n42,12,12,82,82,82,82,82.0,82.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n420,12,12,838,838,838,838,838.0,838.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n66,12,12,130,130,130,130,130.0,130.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n350,3,3,584746,588485,615709,620117,586053.3,617219.3,5.32,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n400,2,2,777964,784110,817862,824964,781037.0,821413.0,5.17,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n75,12,12,21032,21705,22500,23129,21437.4,22863.1,6.65,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n160,12,12,16405,17563,16405,17563,17120.2,17120.2,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n29,12,12,1561,1735,1561,1735,1652.2,1652.2,0.0,0.0139,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n320,12,12,37601,38756,37601,38756,38278.9,38278.9,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n63,12,12,4923,5502,4923,5502,5272.2,5272.2,0.0,0.0139,0.0,STABLE_CLEAN,STABLE_CLEAN
square_root_n45,8,8,194916,200668,204326,210286,198457.1,208089.6,4.85,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n118,12,12,234,234,234,234,234.0,234.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n36,12,12,70,70,70,70,70.0,70.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n76,12,12,150,150,150,150,150.0,150.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
