circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
qft_n320,12,12,83566,172915,83566,172915,147718.4,147718.4,0.0,0.2569,0.2705,UNSTABLE,UNSTABLE
qft_n160,12,12,32923,42568,32923,42568,41007.2,41007.2,0.0,0.0764,0.02,UNSTABLE,STABLE_CLEAN
qft_n29,12,12,1586,1804,1586,1804,1683.9,1683.9,0.0,0.0278,0.0005,STABLE_CLEAN,STABLE_CLEAN
100,9,9,378912,382197,378912,382197,380376.3,380376.3,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
32,12,12,9948,10350,9948,10350,10150.5,10150.5,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n118,12,12,1479,1506,1295,1332,1491.8,1310.1,-12.18,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n28,12,12,372,378,354,360,375.5,357.5,-4.79,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n433,12,12,5457,5562,4755,4851,5525.9,4825.2,-12.68,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n64,12,12,822,847,740,768,835.8,755.2,-9.65,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
bv_n140,12,12,312,456,226,379,401.0,304.2,-24.15,0.0139,0.0,STABLE_CLEAN,STABLE_CLEAN
bv_n280,12,12,965,965,665,669,965.0,667.3,-30.85,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
bv_n30,12,12,66,78,48,72,67.5,55.2,-18.27,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
bv_n70,12,12,138,189,100,145,153.8,119.4,-22.33,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n130,12,12,129,129,129,129,129.0,129.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n260,12,12,259,259,259,259,259.0,259.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n35,12,12,34,34,34,34,34.0,34.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n65,12,12,64,64,64,64,64.0,64.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cc_n151,12,12,594,594,300,302,594.0,301.3,-49.27,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
