circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
qugan_n39,12,12,355,419,388,456,382.3,418.8,9.55,0.4931,0.472,UNSTABLE,UNSTABLE
qugan_n71,12,12,768,849,833,917,801.8,874.6,9.08,0.3889,0.385,UNSTABLE,UNSTABLE
dnn_n33,12,12,295,321,320,347,306.0,333.9,9.12,0.4167,0.3575,UNSTABLE,UNSTABLE
bv_n30,12,12,38,48,39,51,42.3,45.0,6.3,0.3472,0.306,UNSTABLE,UNSTABLE
qugan_n111,12,12,1349,1530,1465,1655,1456.8,1573.2,7.99,0.3681,0.284,UNSTABLE,UNSTABLE
dnn_n51,12,12,514,592,560,621,548.8,590.7,7.62,0.3264,0.235,UNSTABLE,UNSTABLE
bv_n70,12,12,107,142,111,150,125.8,130.8,3.98,0.3472,0.215,UNSTABLE,UNSTABLE
cc_n32,12,12,91,120,97,124,107.3,111.5,3.88,0.2014,0.127,UNSTABLE,UNSTABLE
bv_n140,12,12,288,366,300,372,325.7,335.5,3.02,0.25,0.116,UNSTABLE,UNSTABLE
swap_test_n83,12,12,523,586,553,615,552.2,586.8,6.25,0.2569,0.108,UNSTABLE,UNSTABLE
swap_test_n115,12,12,811,894,874,960,856.6,910.8,6.33,0.2431,0.1045,UNSTABLE,UNSTABLE
cc_n64,12,12,255,298,273,303,274.7,288.5,5.04,0.2569,0.1015,UNSTABLE,UNSTABLE
bv_n280,12,12,707,891,731,917,843.9,862.8,2.23,0.125,0.065,UNSTABLE,UNSTABLE
knn_129,12,12,994,1096,1056,1165,1045.8,1101.4,5.31,0.2153,0.061,UNSTABLE,UNSTABLE
adder_n118,12,12,1661,1839,1781,1957,1764.1,1867.8,5.88,0.1806,0.0605,UNSTABLE,UNSTABLE
adder_n64,12,12,836,945,884,987,887.2,934.8,5.35,0.1528,0.0445,UNSTABLE,STABLE_CLEAN
qugan_n395,12,12,6461,7168,6882,7585,6758.7,7177.3,6.19,0.1389,0.0355,UNSTABLE,STABLE_CLEAN
knn_n67,12,12,444,504,469,520,479.3,502.4,4.82,0.1667,0.0345,UNSTABLE,STABLE_CLEAN
knn_n31,12,12,172,195,179,202,184.2,191.1,3.76,0.1111,0.0225,UNSTABLE,STABLE_CLEAN
