topology,circuit,qiskit_old,qiskit_new,n_seeds,mean_change_pct,spearman_old_vs_ratio,spearman_p,rss_multiplicative,rss_additive,better_fit,cv_old,cv_new,cv_ratio,sd_ratio
heavy-hex,100,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.00398,0.00398,1.0,1.0
heavy-hex,32,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.01505,0.01505,1.0,1.0
heavy-hex,adder_n118,2.0.0,2.0.2,12,-5.876,0.5105,0.0899,4340.493,3763.667,additive,0.02347,0.02858,1.2178,1.1462
heavy-hex,adder_n28,2.0.0,2.0.2,12,-4.857,-0.0988,0.7601,88.905,99.667,multiplicative,0.03776,0.03784,1.0022,0.9535
heavy-hex,adder_n433,2.0.0,2.0.2,12,-4.535,0.6643,0.0185,27037.279,20987.667,additive,0.0175,0.02105,1.2027,1.1482
heavy-hex,adder_n64,2.0.0,2.0.2,12,-5.934,0.3776,0.2262,1436.112,1270.667,additive,0.0227,0.02916,1.2848,1.2085
heavy-hex,bv_n140,2.0.0,2.0.2,12,-4.704,0.1754,0.5855,186.697,182.667,additive,0.07478,0.07754,1.0369,0.9881
heavy-hex,bv_n280,2.0.0,2.0.2,12,-3.576,0.5594,0.0586,1112.413,932.0,additive,0.05845,0.06353,1.0869,1.0481
heavy-hex,bv_n30,2.0.0,2.0.2,12,-7.956,0.4428,0.1494,94.803,83.667,additive,0.07629,0.11348,1.4876,1.3692
heavy-hex,bv_n70,2.0.0,2.0.2,12,-7.278,0.6773,0.0155,178.072,137.0,additive,0.08309,0.10218,1.2297,1.1402
heavy-hex,cat_n130,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,cat_n260,2.0.0,2.0.2,12,-3.114,0.4877,0.1077,764.271,612.0,additive,0.05656,0.05826,1.03,0.9979
heavy-hex,cat_n35,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,cat_n65,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,cc_n151,2.0.0,2.0.2,12,-3.829,0.4448,0.1473,1674.949,1363.667,additive,0.06458,0.07214,1.117,1.0742
heavy-hex,cc_n301,2.0.0,2.0.2,12,-2.947,0.3077,0.3306,2826.259,2617.0,additive,0.02751,0.0305,1.109,1.0763
heavy-hex,cc_n32,2.0.0,2.0.2,12,-5.92,0.6926,0.0125,167.675,134.667,additive,0.0931,0.11623,1.2484,1.1745
heavy-hex,cc_n64,2.0.0,2.0.2,12,-5.396,0.1333,0.6795,388.109,385.0,additive,0.06514,0.06977,1.0711,1.0133
heavy-hex,dnn_n33,2.0.0,2.0.2,12,-9.643,-0.1156,0.7206,278.372,352.917,multiplicative,0.0479,0.04756,0.9929,0.8971
heavy-hex,dnn_n51,2.0.0,2.0.2,12,-8.439,0.4685,0.1245,514.251,489.667,additive,0.04938,0.05311,1.0756,0.9848
heavy-hex,ghz_n127,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ghz_n40,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ghz_n78,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ghz_state_n255,2.0.0,2.0.2,12,-3.112,0.3357,0.2861,788.708,585.0,additive,0.05385,0.0559,1.0379,1.0056
heavy-hex,ising_n34,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ising_n42,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ising_n420,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ising_n66,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,ising_n98,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.04568,0.04568,1.0,1.0
heavy-hex,knn_129,2.0.0,2.0.2,12,-5.906,0.1856,0.5635,2176.048,2104.667,additive,0.03242,0.03587,1.1064,1.041
heavy-hex,knn_341,2.0.0,2.0.2,12,-5.83,0.2907,0.3593,4426.561,4152.917,additive,0.01838,0.02012,1.0948,1.0309
heavy-hex,knn_n31,2.0.0,2.0.2,12,-7.179,0.1649,0.6085,218.511,214.917,additive,0.03598,0.04393,1.2208,1.1332
heavy-hex,knn_n41,2.0.0,2.0.2,12,-7.698,0.4273,0.1659,554.798,488.917,additive,0.05182,0.06544,1.2628,1.1656
heavy-hex,knn_n67,2.0.0,2.0.2,12,-6.001,0.6014,0.0386,988.755,762.667,additive,0.05022,0.06274,1.2494,1.1744
heavy-hex,multiplier_n45,2.0.0,2.0.2,12,-6.715,0.2028,0.5273,10043.582,9266.667,additive,0.01487,0.01665,1.1196,1.0444
heavy-hex,multiplier_n75,2.0.0,2.0.2,12,-6.236,0.4895,0.1063,43244.257,37006.667,additive,0.00696,0.00888,1.2752,1.1956
heavy-hex,qft_n160,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.02065,0.02065,1.0,1.0
heavy-hex,qft_n29,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.03277,0.03277,1.0,1.0
heavy-hex,qft_n320,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0079,0.0079,1.0,1.0
heavy-hex,qft_n63,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.029,0.029,1.0,1.0
heavy-hex,qugan_n111,2.0.0,2.0.2,12,-8.116,0.6014,0.0386,2767.266,1087.0,additive,0.05431,0.06174,1.1368,1.0445
