topology,circuit,qiskit_old,qiskit_new,n_seeds,mean_change_pct,spearman_old_vs_ratio,spearman_p,rss_multiplicative,rss_additive,better_fit,cv_old,cv_new,cv_ratio,sd_ratio
linear,32,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0098,0.0098,1.0,1.0
linear,adder_n118,2.0.0,2.0.2,12,-12.178,0.6127,0.0342,244.157,182.667,additive,0.00599,0.00879,1.4676,1.2889
linear,adder_n28,2.0.0,2.0.2,12,-4.794,1.0,0.0,0.241,0.0,additive,0.00823,0.00864,1.0503,1.0
linear,adder_n433,2.0.0,2.0.2,12,-12.68,0.2308,0.4705,780.209,762.667,additive,0.00508,0.00575,1.132,0.9885
linear,adder_n64,2.0.0,2.0.2,12,-9.651,-0.1579,0.6241,913.906,970.667,multiplicative,0.00758,0.01116,1.4724,1.3303
linear,bv_n140,2.0.0,2.0.2,12,-24.148,-0.3339,0.2888,4828.755,7187.667,multiplicative,0.12443,0.13371,1.0747,0.8151
linear,bv_n280,2.0.0,2.0.2,12,-30.846,,,46.667,46.667,tie,0.0,0.00309,,
linear,bv_n30,2.0.0,2.0.2,12,-18.272,0.567,0.0545,183.485,150.667,additive,0.0519,0.11486,2.2131,1.8088
linear,bv_n70,2.0.0,2.0.2,12,-22.331,0.2187,0.4947,439.526,446.667,multiplicative,0.08966,0.11401,1.2716,0.9876
linear,cat_n130,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,cat_n260,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,cat_n35,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,cat_n65,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,cc_n151,2.0.0,2.0.2,12,-49.27,,,10.667,10.667,tie,0.0,0.00327,,
linear,cc_n301,2.0.0,2.0.2,12,-49.665,,,12.0,12.0,tie,0.0,0.00174,,
linear,cc_n32,2.0.0,2.0.2,12,-24.435,,,803.667,803.667,tie,0.0,0.09586,,
linear,cc_n64,2.0.0,2.0.2,12,-46.748,,,2420.0,2420.0,tie,0.0,0.11322,,
linear,dnn_n33,2.0.0,2.0.2,12,-17.281,0.1336,0.6789,136.276,135.0,additive,0.01035,0.01629,1.5735,1.3016
linear,dnn_n51,2.0.0,2.0.2,12,-17.202,0.7518,0.0048,167.069,118.667,additive,0.00928,0.01591,1.7135,1.4187
linear,ghz_n127,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ghz_n40,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ghz_n78,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ghz_state_n255,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ising_n34,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ising_n42,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ising_n420,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ising_n66,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,ising_n98,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,knn_129,2.0.0,2.0.2,12,-29.936,1.0,0.0,69.291,33.0,additive,0.00314,0.00748,2.3788,1.6667
linear,knn_341,2.0.0,2.0.2,12,-30.391,1.0,0.0,171.682,81.0,additive,0.00184,0.00442,2.3943,1.6667
linear,knn_n31,2.0.0,2.0.2,12,-27.513,,,0.0,0.0,tie,0.0,0.0,,
linear,knn_n41,2.0.0,2.0.2,12,-28.346,,,0.0,0.0,tie,0.0,0.0,,
linear,knn_n67,2.0.0,2.0.2,12,-29.314,,,0.0,0.0,tie,0.0,0.0,,
linear,multiplier_n45,2.0.0,2.0.2,12,-7.298,0.8531,0.0004,7536.941,2640.0,additive,0.02193,0.02504,1.1421,1.0587
linear,multiplier_n75,2.0.0,2.0.2,12,-6.965,0.7343,0.0065,105567.102,21616.0,additive,0.04601,0.04976,1.0815,1.0062
linear,qft_n160,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.06422,0.06422,1.0,1.0
linear,qft_n29,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.03545,0.03545,1.0,1.0
linear,qft_n320,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.19799,0.19799,1.0,1.0
linear,qft_n63,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.01812,0.01812,1.0,1.0
linear,qugan_n111,2.0.0,2.0.2,12,-16.098,0.8087,0.0014,325.187,228.25,additive,0.0044,0.00892,2.026,1.6999
linear,qugan_n39,2.0.0,2.0.2,12,-16.342,0.654,0.021,139.628,94.917,additive,0.01053,0.01888,1.7925,1.4996
linear,qugan_n395,2.0.0,2.0.2,12,-15.923,0.9825,0.0,2245.852,1452.667,additive,0.00356,0.00695,1.9537,1.6426
linear,qugan_n71,2.0.0,2.0.2,12,-16.045,0.598,0.04,125.725,76.917,additive,0.00587,0.01028,1.7518,1.4707
linear,swap_test_n115,2.0.0,2.0.2,12,-29.247,1.0,0.0,217.328,105.0,additive,0.00626,0.01475,2.3556,1.6667
linear,swap_test_n361,2.0.0,2.0.2,12,-30.412,1.0,0.0,171.757,81.0,additive,0.00174,0.00417,2.395,1.6667
linear,swap_test_n41,2.0.0,2.0.2,12,-28.346,,,0.0,0.0,tie,0.0,0.0,,
linear,swap_test_n83,2.0.0,2.0.2,12,-29.602,,,0.0,0.0,tie,0.0,0.0,,
linear,wstate_n118,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,wstate_n36,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,wstate_n380,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
linear,wstate_n76,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
