topology,circuit,qiskit_old,qiskit_new,n_seeds,mean_change_pct,spearman_old_vs_ratio,spearman_p,rss_multiplicative,rss_additive,better_fit,cv_old,cv_new,cv_ratio,sd_ratio
square,100,2.0.0,2.0.2,12,-0.009,0.5564,0.0603,393.582,393.0,additive,0.00418,0.00419,1.0033,1.0032
square,32,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.00785,0.00785,1.0,1.0
square,adder_n118,2.0.0,2.0.2,12,-5.55,0.028,0.9312,2232.632,2382.667,multiplicative,0.03088,0.03163,1.0242,0.9673
square,adder_n28,2.0.0,2.0.2,12,-3.706,-0.2627,0.4094,254.888,266.667,multiplicative,0.02475,0.02437,0.9843,0.9479
square,adder_n433,2.0.0,2.0.2,12,-4.939,0.4895,0.1063,21919.087,18434.667,additive,0.01532,0.01989,1.2981,1.234
square,adder_n64,2.0.0,2.0.2,12,-5.082,0.4175,0.1768,1067.801,1001.0,additive,0.02894,0.03391,1.1718,1.1122
square,bv_n140,2.0.0,2.0.2,12,-2.931,0.1053,0.7447,193.654,187.667,additive,0.06787,0.07129,1.0504,1.0196
square,bv_n280,2.0.0,2.0.2,12,-2.183,0.1818,0.5717,413.115,363.667,additive,0.0568,0.06029,1.0615,1.0383
square,bv_n30,2.0.0,2.0.2,12,-5.926,-0.0742,0.8186,24.318,26.667,multiplicative,0.0804,0.07888,0.9811,0.923
square,bv_n70,2.0.0,2.0.2,12,-3.824,0.0634,0.8449,33.995,36.0,multiplicative,0.09254,0.09386,1.0143,0.9755
square,cat_n130,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,cat_n260,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,cat_n35,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,cat_n65,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,cc_n151,2.0.0,2.0.2,12,-1.681,0.186,0.5628,219.01,209.0,additive,0.04669,0.04815,1.0314,1.0141
square,cc_n301,2.0.0,2.0.2,12,-1.65,0.6573,0.0202,972.072,857.0,additive,0.03262,0.03551,1.0886,1.0706
square,cc_n32,2.0.0,2.0.2,12,-3.737,0.3722,0.2335,46.074,43.667,additive,0.06053,0.06827,1.128,1.0858
