topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,true_change_pct,ground_truth,unpaired_p,unpaired_lo,unpaired_hi,paired_p,paired_lo,paired_hi,paired_is_degenerate,bootstrap_mode,method_point,method_interval
linear,32,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,adder_n118,2.0.0,2.0.2,12,3,0.1,-12.178,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,adder_n28,2.0.0,2.0.2,12,3,0.1,-4.794,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,adder_n433,2.0.0,2.0.2,12,3,0.1,-12.68,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,adder_n64,2.0.0,2.0.2,12,3,0.1,-9.651,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,bv_n140,2.0.0,2.0.2,12,3,0.1,-24.148,NO_REGRESSION,0.0001,0.0,0.0014,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,bv_n280,2.0.0,2.0.2,12,3,0.1,-30.846,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,bv_n30,2.0.0,2.0.2,12,3,0.1,-18.272,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,bv_n70,2.0.0,2.0.2,12,3,0.1,-22.331,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cat_n130,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cat_n260,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cat_n35,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cat_n65,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cc_n151,2.0.0,2.0.2,12,3,0.1,-49.27,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cc_n301,2.0.0,2.0.2,12,3,0.1,-49.665,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cc_n32,2.0.0,2.0.2,12,3,0.1,-24.435,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,cc_n64,2.0.0,2.0.2,12,3,0.1,-46.748,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,dnn_n33,2.0.0,2.0.2,12,3,0.1,-17.281,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,dnn_n51,2.0.0,2.0.2,12,3,0.1,-17.202,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,ghz_n127,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,ghz_n40,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,ghz_n78,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,ghz_state_n255,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,ising_n34,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
