circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
qft_n320,320,two_q,12,4.268,12,12,83566.0,172915.0,147718.42,163124.0,29246.192,32684.25,19.799,106.92,-1.138,-0.118,0.0069
bv_n140,140,two_q,10,0.044,12,10,226.0,379.0,304.17,315.5,40.671,47.0,13.371,67.7,-0.111,-0.219,0.7894
bv_n30,30,two_q,12,0.012,12,6,48.0,72.0,55.17,54.0,6.337,7.25,11.486,50.0,1.508,2.243,0.0173
cc_n32,32,two_q,1,0.132,12,7,64.0,96.0,89.17,91.0,8.548,6.0,9.586,50.0,-2.29,4.559,0.0006
bv_n70,70,two_q,12,0.023,12,10,100.0,145.0,119.42,113.5,13.615,12.25,11.401,45.0,0.756,-0.536,0.0783
cc_n64,64,two_q,1,0.373,12,3,126.0,178.0,131.0,126.0,14.832,2.0,11.322,41.27,2.992,7.008,0.0
qft_n160,160,two_q,12,1.177,12,12,32923.0,42568.0,41007.17,41893.0,2633.348,877.25,6.422,29.3,-2.687,5.842,0.0
multiplier_n75,75,two_q,12,1.607,12,12,22568.0,25763.0,23589.92,22949.0,1173.863,1799.0,4.976,14.16,0.834,-0.983,0.0079
qft_n29,29,two_q,12,0.096,12,11,1586.0,1804.0,1683.92,1684.0,59.694,56.0,3.545,13.75,0.326,-0.274,0.9948
multiplier_n45,45,two_q,12,0.535,12,11,7382.0,7924.0,7647.17,7625.5,191.513,303.5,2.504,7.34,-0.01,-1.407,0.3766
qft_n63,63,two_q,12,0.281,12,12,7107.0,7596.0,7337.42,7332.5,132.952,171.75,1.812,6.88,0.211,-0.363,1.0
qugan_n39,39,two_q,12,0.067,12,7,372.0,397.0,386.92,388.5,7.305,6.25,1.888,6.72,-0.89,-0.116,0.1158
dnn_n51,51,two_q,12,0.076,12,9,480.0,508.0,494.17,495.0,7.861,11.0,1.591,5.83,-0.182,-0.6,0.8898
dnn_n33,33,two_q,12,0.05,12,7,299.0,314.0,308.75,310.5,5.029,5.75,1.629,5.02,-0.805,-0.655,0.0687
qugan_n71,71,two_q,12,0.12,12,7,721.0,751.0,732.08,731.0,7.525,2.5,1.028,4.16,1.298,1.67,0.0182
32,32,two_q,12,0.442,12,12,9948.0,10350.0,10150.5,10141.5,99.445,65.25,0.98,4.04,0.061,0.576,0.6708
adder_n64,64,two_q,12,0.085,12,11,740.0,768.0,755.17,757.0,8.43,11.0,1.116,3.78,-0.341,-0.803,0.8494
qugan_n111,111,two_q,12,0.196,12,9,1136.0,1174.0,1155.75,1156.0,10.314,8.5,0.892,3.35,-0.274,-0.131,0.7382
swap_test_n115,115,two_q,3,0.096,12,2,515.0,530.0,523.75,530.0,7.724,15.0,1.475,2.91,-0.338,-1.886,0.0002
adder_n118,118,two_q,12,0.168,12,10,1295.0,1332.0,1310.08,1306.5,11.516,13.5,0.879,2.86,0.648,-0.654,0.3061
multiplier_n400,400,two_q,2,73.609,2,2,871944.0,896462.0,884203.0,884203.0,17336.844,12259.0,1.961,2.81,,,
multiplier_n350,350,two_q,3,53.83,3,3,652278.0,669381.0,658435.67,653648.0,9503.655,8551.5,1.443,2.62,0.691,-1.5,
knn_129,129,two_q,2,0.103,12,2,578.0,593.0,579.25,578.0,4.33,0.0,0.748,2.6,3.015,7.091,0.0
qugan_n395,395,two_q,12,1.047,12,11,4144.0,4239.0,4196.08,4202.5,29.15,30.0,0.695,2.29,-0.311,-0.812,0.8048
adder_n433,433,two_q,12,1.565,12,10,4755.0,4851.0,4825.25,4831.5,27.756,26.0,0.575,2.02,-1.463,1.435,0.0184
adder_n28,28,two_q,9,0.035,12,2,354.0,360.0,357.5,360.0,3.09,6.0,0.864,1.69,-0.338,-1.886,0.0002
knn_341,341,two_q,2,0.458,12,2,1532.0,1547.0,1535.75,1532.0,6.784,3.75,0.442,0.98,1.155,-0.667,0.0
swap_test_n361,361,two_q,3,0.524,12,2,1622.0,1637.0,1625.75,1622.0,6.784,3.75,0.417,0.92,1.155,-0.667,0.0
100,100,two_q,9,13.975,9,9,378912.0,382197.0,380376.33,380169.0,982.668,1332.0,0.258,0.87,0.383,-0.462,0.9337
cc_n151,151,two_q,1,1.766,12,2,300.0,302.0,301.33,302.0,0.985,2.0,0.327,0.67,-0.707,-1.5,0.0001
bv_n280,280,two_q,2,0.102,12,2,665.0,669.0,667.33,669.0,2.06,4.0,0.309,0.6,-0.338,-1.886,0.0002
square_root_n45,45,two_q,8,15.187,8,8,278500.0,279578.0,279267.62,279392.0,342.148,255.25,0.123,0.39,-1.547,1.298,0.0251
cc_n301,301,two_q,1,6.818,12,2,600.0,602.0,601.0,601.0,1.044,2.0,0.174,0.33,0.0,-2.0,0.0003
vqe_uccsd_n28,28,two_q,4,34.6,4,4,231447.0,231895.0,231606.5,231542.0,202.52,194.5,0.087,0.19,0.846,-0.945,
bwt_n37,37,two_q,1,268.982,1,1,3136800.0,3136800.0,3136800.0,3136800.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.011,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n260,260,two_q,1,0.019,12,1,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.007,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.009,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.012,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.008,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.009,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
